Program,Level,Field,Campus,Description
Computer Science,Bachelor,Technology,Barcelona - Bangkok,Most things in the world work with computers. Will you?
Data Science,Bachelor,Technology,Barcelona - Bangkok,Get ready for the Petabyte and learn what we can do with it.
Cyber Security,Bachelor,Technology,Barcelona - Bangkok,The ultimate programme on the protection of digital assets and privacy.
Front-end Development,Bachelor,Technology,Barcelona,Where programming and creativity collide to build intricate - inventive and interesting web interfaces.
Interaction Design,Bachelor,Creative,Barcelona - Bangkok,This is where machines meet humans. A programme that teaches digital design that makes seamless human experiences.
High-tech Entrepreneurship,Bachelor,Creative,Barcelona - Bangkok,The business degree that will rocket-launch your career as a tech entrepreneur.
Digital Marketing,Bachelor,Creative,Barcelona - Bangkok,A programme that delves into the marketing strategies that make great digital dreams come true.
International Business,Bachelor,Creative,Barcelona,Leveraging the new digital economy for successful global business strategies.
Computer Science,Master,Technology,Barcelona - Bangkok,Most things in the world work with computers. Will you?
Data Science,Master,Technology,Barcelona - Bangkok,Get ready for the Petabyte and learn what we can do with it.
Cyber Security,Master,Technology,Barcelona - Bangkok,The ultimate programme on the protection of digital assets and privacy.
Front-end Development,Master,Technology,Barcelona,Where programming and creativity collide to build intricate - inventive and interesting web interfaces.
Applied Data and Computer Science,Master,Technology,Barcelona,Where data-driven insights and computational techniques converge to address complex problems - revealing innovative applications in technology and science.
Interaction Design,Master,Creative,Barcelona - Bangkok,This is where machines meet humans. A programme that teaches digital design that makes seamless human experiences.
High-tech Entrepreneurship,Master,Creative,Barcelona - Bangkok,The business degree that will rocket-launch your career as a tech entrepreneur.
Digital Marketing,Master,Creative,Barcelona - Bangkok,A programme that delves into the marketing strategies that make great digital dreams come true.
Fintech,Master,Creative,Barcelona,Get ready to disrupt the market and revolutionize the financial services through innovation and application of new technologies.
Product Management,Master,Creative,Barcelona,A cross-functional business - design & technology management degree focused on creating and delivering successful products.
Digital Transformation,Master,Creative,Barcelona,Unlock the power of digital innovation - shaping the business landscape as a catalyst for change.
